username,donation,location,twitch_url,avatar,avatar_online_url
0uahleouff,7 917,À distance,https://twitch.tv/0uahleouff,avatars/0uahleouff.png,https://static-cdn.jtvnw.net/jtv_user_pictures/86c8701b-f603-444b-bc7f-f86c9c75f899-profile_image-300x300.png
2old4stream,5 501,À distance,https://twitch.tv/2old4stream,avatars/2old4stream.png,https://static-cdn.jtvnw.net/jtv_user_pictures/97efec90-2f02-41bb-91d8-d2553d826159-profile_image-300x300.png
adyboo,3 005,À distance,https://twitch.tv/adyboo,avatars/adyboo.png,https://static-cdn.jtvnw.net/jtv_user_pictures/2e27f778-f98e-4194-aeb3-747774a6ed5e-profile_image-300x300.png
airkagaming,3 402,À distance,https://twitch.tv/airkagaming,avatars/airkagaming.png,https://static-cdn.jtvnw.net/jtv_user_pictures/a8473ef4-da48-4ec1-9063-b7165536cb26-profile_image-300x300.jpeg
Alexclick,47 129,À distance,https://twitch.tv/alexclick,avatars/Alexclick.png,https://static-cdn.jtvnw.net/jtv_user_pictures/8d31c289-2ea2-4fad-b0a7-09c6f4027cd9-profile_image-300x300.png
allmight__one,873,À distance,https://twitch.tv/allmight__one,avatars/allmight__one.png,https://static-cdn.jtvnw.net/jtv_user_pictures/ad04da28-3ac0-485e-b5e5-0f7843b1b659-profile_image-300x300.png
AlphaCast,126 123,Sur place,https://twitch.tv/alphacast,avatars/AlphaCast.png,https://static-cdn.jtvnw.net/jtv_user_pictures/329b27f2-a551-453d-af5c-bd6b21f826c7-profile_image-300x300.png
Anaee,12 451,À distance,https://twitch.tv/anaee,avatars/Anaee.png,https://static-cdn.jtvnw.net/jtv_user_pictures/c56f900e-57d0-4749-8303-2271501dad0d-profile_image-300x300.png
AnaOnAir,4 130,À distance,https://twitch.tv/anaonair,avatars/AnaOnAir.png,https://static-cdn.jtvnw.net/jtv_user_pictures/23c1c4bc-1465-43e9-9dcd-251afccf1073-profile_image-300x300.png
AngleDroit,568 759,Sur place,https://twitch.tv/angledroit,avatars/AngleDroit.png,https://static-cdn.jtvnw.net/jtv_user_pictures/a10c6842-c915-4cce-8779-507791763de8-profile_image-300x300.png
Antistar,7 630,À distance,https://twitch.tv/antistar,avatars/Antistar.png,https://static-cdn.jtvnw.net/jtv_user_pictures/5d342fbd-e24b-402b-9c05-35fe04d4e445-profile_image-300x300.png
AntoineDaniel,1 218 838,Sur place,https://twitch.tv/antoinedaniel,avatars/AntoineDaniel.png,https://static-cdn.jtvnw.net/jtv_user_pictures/7474d9d8-ab27-46c8-95f4-0c71b1878c78-profile_image-300x300.png
arnaquemoisitupeux,2 225,À distance,https://twitch.tv/arnaquemoisitupeux,avatars/arnaquemoisitupeux.png,https://static-cdn.jtvnw.net/jtv_user_pictures/e0c3b612-717c-4cfb-af81-db2f5a3a7c40-profile_image-300x300.jpeg
Artemize,3 003,À distance,https://twitch.tv/artemize,avatars/Artemize.png,https://static-cdn.jtvnw.net/jtv_user_pictures/cb9cf71d-eb16-4ff3-b2de-65ae8af674d0-profile_image-300x300.png
As2piK,5 195,À distance,https://twitch.tv/as2pik,avatars/As2piK.png,https://static-cdn.jtvnw.net/jtv_user_pictures/c6ca3f86-d8df-46df-97ce-edd58f1c7367-profile_image-300x300.png
AVAMind,104 323,Sur place,https://twitch.tv/avamind,avatars/AVAMind.png,https://static-cdn.jtvnw.net/jtv_user_pictures/7611726d-3398-4231-8a33-cae5c0edad15-profile_image-300x300.png
Azghaaar,4 615,À distance,https://twitch.tv/azghaaar,avatars/Azghaaar.png,https://static-cdn.jtvnw.net/jtv_user_pictures/026e9f19-de36-4495-bcdd-2c97881df78d-profile_image-300x300.png
BagheraJones,135 327,Sur place,https://twitch.tv/bagherajones,avatars/BagheraJones.png,https://static-cdn.jtvnw.net/jtv_user_pictures/5f161f8d-ef6a-4276-b6ba-4639df412aab-profile_image-300x300.png
BARBE___DOUCE,14 000,À distance,https://twitch.tv/barbe___douce,avatars/BARBE___DOUCE.png,https://static-cdn.jtvnw.net/jtv_user_pictures/91f31e20-ba5d-4e01-8512-260356dfd1f6-profile_image-300x300.png
BartGeo,3 441,À distance,https://twitch.tv/bartgeo,avatars/BartGeo.png,https://static-cdn.jtvnw.net/jtv_user_pictures/da5cb857-2aaf-424e-b26e-6c71259ff9a8-profile_image-300x300.png
BastiUi,7 713,À distance,https://twitch.tv/bastiui,avatars/BastiUi.png,https://static-cdn.jtvnw.net/jtv_user_pictures/0e6ed553-e4ed-4f63-b767-21350556c51c-profile_image-300x300.png
BCLV4,5 260,À distance,https://twitch.tv/bclv4,avatars/BCLV4.png,https://static-cdn.jtvnw.net/jtv_user_pictures/57be7d73-4359-4b56-a405-2a7c9b5c9e42-profile_image-300x300.png
